,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
RNASEL_hg,0.0,0.13331138180468036,0.303988420113439,0.15601062902190568,0.37399682373431886,0.0,0.0,0.0069908467743763645,0.0,0.0,0.0,0.17181801668863694,0.02300525176537668,0.0,0.2578192799138856
RNASET2_hg,0.0,0.23496020710422652,0.0,0.35299675952914655,0.9496455000600608,0.0,0.0,0.6084773621456887,0.09527167093784657,0.11487464923293479,0.0,0.554974802955698,0.12469209725856768,0.0,0.9117275018488268
RND1_hg,0.0,0.33630619241360354,0.0,0.0,0.004591446795848176,0.0,0.0,0.023701539366311673,0.0,0.013515922130794946,0.08918890554984091,0.0,0.0,0.0,0.0
RNF123_hg,0.017349867677303718,0.4785123818364686,0.03937465476005938,0.36570606175568227,0.062034004975933116,0.1417975278238693,0.02485474188780663,0.37734006265377296,0.0,0.0,0.09957806817703756,0.40881540543398687,0.0,0.0,0.0
RNF130_hg,0.0828606053592277,0.11248620456404274,0.15729371853413404,0.0,0.03556389836121184,0.06334975977508747,0.0,0.17301803383949763,0.0,0.0,0.0,0.09107369878407341,0.06694751536100815,0.0,0.7873248960196921
RNF133_hg,0.0,0.0,0.0,0.00017830541838449648,0.0007954678935958115,0.0,0.0,0.0,0.0,9.828866762448565e-05,0.0,0.0,0.0,0.0,0.0
RNF148_hg,0.0,0.0004001155033641049,0.00014173005457736938,0.0,0.00030319299108896863,0.0,0.0,2.073508487013107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008981758480723301
RNF14_hg,0.0017136566799099899,0.7595079383249991,0.2641437239607225,0.03308166905058851,0.16741899632171753,0.07267442611733267,0.0013383930288298534,0.09639900226396393,0.0,0.21910896405495114,0.2001005672425669,0.042025939630949555,0.17008445181056087,0.0,0.10156077877457463
RNF150_hg,0.0,0.0,0.0,0.0019994581151960554,0.002618506378157396,0.0,0.0,0.0,0.0,0.0,0.0,0.0026180707066895117,0.0,0.0,0.0
RNF165_hg,0.0,0.08649854685896942,0.05427391194351526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016876559701049697,0.04001691109896443,0.0,0.0,0.022941403070923502
RNF170_hg,0.0,0.6230967593315465,0.10124696929155254,0.008770544346719335,0.05344942327978629,0.07552061256276985,0.05453300131687911,0.04460960178175129,0.0,0.11142014718494518,0.0997446726286459,0.005349142443523062,0.01608558116399541,0.0,0.15267001973265257
RNF17_hg,0.0023711195017526413,0.017469906167066285,0.02640114308457235,0.04007060546081617,0.021150352782325625,0.0,0.0,0.0,0.0,0.0,0.0,0.026564233988316917,0.0013653540697551104,0.025730716252586258,0.0
RNF180_hg,0.00020372383704049773,0.0,0.0,0.0,0.0007870808735626792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005765670164143982,0.0
RNF181_hg,0.3244383569157132,0.0,0.5482648695314865,0.45371100055642055,1.1591482015618888,0.03307416351681738,0.25518907226068377,3.315023186635644,0.0,0.035971032962041766,0.0,0.32861282969301775,0.0735179728551149,0.18168466237742362,0.25961101136846193
RNF186_hg,0.0,0.0,0.0,0.00025248432746872247,8.77133067145856e-05,0.0,0.0,0.0001331953099540216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF187_hg,0.11105032530293064,0.23126851741515408,0.33831903678049535,0.38879869841308146,0.3832632381676695,0.24207451451320158,0.0,0.0,0.0,0.31011857699617196,0.0320831321728849,0.8066040945335469,0.00589040147945659,0.0,0.40380737459083416
RNF212_hg,0.0,0.08738222592554871,0.0170014886577418,0.0,0.0,0.00467474730065793,0.004232868360451535,2.1056338173455947e-05,0.0,0.0,0.016139064027566513,0.014236910720957728,0.005940477667274858,0.0,0.0
RNF213_hg,0.07908447556437481,0.5651209261462435,1.249543918168783,0.9933003604178845,0.7194720226932659,0.23044168703813597,0.011374486464485873,0.0,0.0,0.3880780932769289,0.2939197381763908,0.5875418467130403,0.0,0.0,1.4992556042058731
RNF39_hg,0.0,0.0,0.00020988956067235175,0.0,4.97607235752531e-05,0.0,0.00011180397700184264,0.0,0.0,3.247065249338944e-05,3.836320589555368e-05,0.0,0.0,0.0,0.0
RNF41_hg,0.0,0.9514933897813076,0.5672740592292871,0.0,0.24239316519178247,0.0,0.14159236147179888,0.35420979130499336,0.0,0.2339919883184694,0.18092324941626223,0.027562356519286887,0.13542382992231666,0.0,0.13869743161482206
RNU1-100P_hg,0.0,0.0,1.3585837745141325e-05,0.0,0.0,3.00401661076651e-05,0.0,5.338757568924122e-05,0.0,0.0,0.00028228953174041734,0.0,0.00017426861318415462,0.0,0.0
RNU1-133P_hg,0.0,0.0,0.0,0.0003349894880610957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002789880087954869,0.0,0.0,0.0
RNU1-82P_hg,0.0,0.0005174782707309548,0.0,0.0,0.0,0.0,0.0,0.0,1.766471115367795e-05,0.0,0.0,0.0,0.0,0.0,0.0
RNU2-35P_hg,0.0,0.00015221783215099965,0.0,0.0,0.0,3.0364259170667592e-05,0.0,0.0,0.0,0.0,0.0,1.4781709168098622e-05,0.0,0.0,0.0
RNU4-41P_hg,0.0,9.449020995479624e-05,8.640545727917219e-06,0.00013946571375775206,7.516403308326492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028017622601898026,4.785583608494692e-05
