,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
Slc22a2_mm,0.0,0.0,0.0002821442776715796,0.0,0.0,0.0,0.0,8.114042865067923e-05,0.0,0.0,0.0,0.0,0.0,0.00023100642551240313,0.0
Slc22a30_mm,0.0,0.0004188577427979534,0.0,0.0,0.0,1.4007369616981138e-05,0.0,0.0002403809562437287,0.00033184786946800754,0.0007969639411602004,0.0,0.0,0.0,0.0,0.0
Slc23a1_mm,0.2745787091356595,0.005180847043959548,0.017726821288572663,0.11697372430675436,0.0095701207199199,0.008536713266830028,0.0,0.0,0.07247955448111247,0.2524752844402005,0.09424364138129944,0.0,0.0,0.0,0.07525274300626307
Slc24a1_mm,0.0,0.0,0.02118541645152329,0.024164252609967435,0.0,0.0,0.0,0.000633140289563338,0.0,0.0037321996566843634,0.0036653396116644384,0.0,0.014836358076994668,0.0,0.0
Slc24a4_mm,0.0,0.0,0.0,5.093334731368263e-06,2.5689460805177457e-05,0.0,0.0,0.0,0.0,0.00021447387512770182,0.0,0.0,0.0,0.0,0.0
Slc25a1_mm,1.858672506868,0.0,0.0,0.765768555505673,0.5783081096602747,0.0,0.10178661386121272,0.4462118536654255,1.749307926291297,0.0,1.0801234559491817,0.1388720408147468,0.0,0.9301359055081692,0.0
Slc25a21_mm,0.0,0.007256078136973331,0.041088473658824176,0.001290513421737001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148883850075835,0.0
Slc25a33_mm,0.25161633470752065,0.0,0.0,0.17878249387437936,0.24475795211561963,0.008659942680220339,0.014462439416668423,0.032045671694556285,0.05246983944590158,0.13329711019769866,0.10128595311730013,0.0,0.0,0.03957084561507536,0.0
Slc25a3_mm,2.754142671502973,0.07121486632222679,0.25715818298370857,0.8887771098960757,1.411850441062457,0.4563264292773252,0.0,0.5804885145076901,0.8155276681015731,0.06760241047845063,0.4907377610694067,0.0,0.0,1.893260901459689,0.6151415739688804
Slc25a40_mm,0.3337755827434332,0.0,0.0,0.36997904280550786,0.46204924831981803,0.0,0.1722356599548473,0.4992364205755373,0.9316501071797236,0.1341986768810023,0.17791306013161823,0.18754476770303227,0.03159529137935312,0.0,0.20458868062080549
Slc25a41_mm,0.0,0.0,0.0007995555883847804,0.0002906564751747466,0.0,0.0,0.0,0.0,0.0004891210130125435,0.0,0.0,0.0,0.0,0.0017075691104138917,0.0
Slc25a47_mm,0.0,0.0,0.0,0.017963465032848264,0.03407281599181689,0.0,0.0,0.001653613689482913,0.0,0.0,0.0007412839868957665,0.0,0.0,0.0017844728881573474,0.0
Slc25a5_mm,6.3187199310119695,0.5021612435194353,0.49105039421264707,0.0,0.0,0.9492196430418749,1.3745068122770319,1.242292765900763,2.3594756183085277,0.0,0.0,0.0,0.0,3.7108808173270336,0.0
Slc26a11_mm,0.0,0.0,0.004356552718221105,0.0,0.013206764336084205,0.0,0.0,0.018278396737316,0.0,0.019238837751534402,0.0,0.0,0.0,0.0,0.0
Slc26a7_mm,0.0,0.0,0.0,0.0,7.629239599825627e-06,0.0,0.0,0.0,0.0,0.0009179311380202981,0.0,0.0,0.0,2.4749704453736087e-05,0.0
Slc28a3_mm,0.006483080384219673,0.0035287533863381385,0.018912316797137143,0.0,0.0,0.0,0.0,0.01607611002920747,0.05162450072023236,0.11967952261969171,0.018020535470402176,0.0,0.0570903986862475,0.0,0.0
Slc29a1_mm,2.3244225001288292,0.0,0.0,0.14167770021891635,0.7292570867805143,0.025202797693487492,0.0,0.021104557146783387,0.0788587693964699,0.14513137301950468,0.5116924471736636,0.0,0.0,0.49330456644077136,0.16926003493432182
Slc2a13_mm,0.0,0.00016587324359298606,0.0,0.0,0.0,0.0,0.0,0.00048430900174941413,0.0,0.0010467706264633933,0.0,0.0,0.0,0.00020431020676343507,0.0
Slc2a3_mm,3.9104958731407566,0.7413768454784669,0.0,0.0,1.8854848270290616,0.2669186117546744,0.49437872487787204,0.8783787683644627,2.483593327692059,0.0,1.1657679559190932,0.3946505375212683,1.4201726449465009,0.9487887575959908,0.0
Slc2a4_mm,0.000733050323030669,0.0,0.0,0.0010750103683630431,0.00012264907374025526,0.0002569013233366052,0.0,0.0004077505090014967,0.0,0.00047608569956355103,0.0,0.0,0.0,0.0,0.0
Slc30a8_mm,6.301060956006302e-05,3.6268217830955096e-05,5.5915015524793984e-05,1.0742333180410944e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693123971088487e-05,0.0,0.0,0.0
Slc34a2_mm,0.0,0.0006960187965849821,0.0008103241902183336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018385110636937423,0.0
Slc34a3_mm,0.0,0.0,0.0,0.0002102022914560507,3.61569037401568e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.748710836516181e-05,0.0,0.0,0.0
Slc35e4_mm,0.021663905706150524,0.0,0.0,0.07660862775107923,0.1385842068378249,0.019869028664183594,0.03709864305178027,0.26526277975899243,0.0,0.10748355396062816,0.12087202326588155,0.0,0.0,0.03161887627724708,0.0
Slc35f1_mm,0.004106329703160115,0.0,0.0,0.003158680652237694,0.0,0.0,0.0,0.004984523566041766,0.0,0.034663944721583094,0.0,0.0,0.024628812369386646,2.6512622462430856e-05,0.0
Slc35f3_mm,0.015420389682499421,0.007739682480610217,0.004088491179367598,0.08613643790499001,0.06870996650405303,0.0,0.00136023772479501,0.027818316953856524,0.0,0.04213403088269562,0.0,0.0,0.006454857882551024,0.00595750325966359,0.0
Slc36a4_mm,0.0,0.0,0.0035841025265226736,0.005063439751503372,0.0,0.0,0.0,0.0,0.0,0.003371106828522672,0.0,0.0,0.0,0.0,0.0
Slc37a2_mm,0.024734462148467886,0.0,0.026724932003686964,0.2609918100106486,0.02679475464876465,0.0,0.0,0.2644959397714368,0.012716477602105392,0.004508893299694345,0.0,0.0,0.0,0.041412973589019166,0.0
Slc38a10_mm,0.08307928348171018,0.029354213406038287,0.047927450287917596,0.3719520266248783,0.2633849657687403,0.0,0.0946688114544298,0.15772821228771103,0.0,0.13358708009005718,0.5937968054716029,0.06905336560828497,0.1114592431174136,0.016101026072163616,0.0
Slc38a1_mm,2.825085782301609,0.4780988562885813,0.24557413646032214,0.8990238592985662,1.151593656225718,1.0787070394258467,0.08014677398586346,0.6476127724851442,2.035227160276673,1.671683806488469,0.28029966908670484,1.8284001406763255,0.40159791606476525,0.4933161299706257,0.8890870817845525
Slc38a6_mm,0.9292806923177608,0.0,1.5382188572689588,0.0,0.11149200175801506,0.0,0.0,0.6164209903269943,0.8188904976632482,1.2790972517070482,0.21130373342608783,0.37474072604429487,0.0,0.0,0.0
Slc38a7_mm,0.32241389189253544,0.0,0.031659408003484914,0.21534213422986256,0.6486839924136252,0.0,0.15467397468755828,0.3293791612863263,0.03035064698745561,0.14430682429347888,0.4101319890018083,0.03486119237195308,0.0,0.0,0.0
Slc38a9_mm,0.5546179765316852,0.0,0.0,0.4652782586917359,0.4189327104025634,0.0005489389906793825,0.0,0.23836928305307503,0.25155316448804305,0.5339050956788541,0.0672774745027926,0.0,0.0,0.05567968918262613,0.2620857012998367
Slc39a12_mm,0.0,0.0,0.003042778494830063,0.0,0.0,0.0,0.0,0.0,0.0,0.00025784112944991306,0.0,0.0,0.0,0.0,0.0
Slc39a5_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.607577916767026e-05,0.00038366501408575664,0.0,0.0,0.0,0.0,0.0
Slc39a6_mm,0.6252569093252375,0.0,0.06108161314562894,1.3235644473871206,0.4292313113498643,0.46735412630496137,0.04478905037513606,0.8414207401022785,0.608603592588502,0.3751828576203991,0.6333348187671719,0.0,0.0,0.10995321026729908,0.0
Slc3a2_mm,1.5169912455177994,0.0,0.13611247379828909,0.049471376847630186,2.2855340384233176,0.25093000184192643,0.0,0.866851360407201,1.0665162209136914,0.04803687251029701,0.8071663857181938,0.00309727148038121,0.032770622157800994,1.268749177128712,0.6048539650657553
Slc40a1_mm,0.0,0.005065593119245771,0.1735540970143637,0.034993804847852195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc44a4_mm,0.017300822245974085,0.002618830479169948,0.004785806294720474,0.029474269356992287,0.034655909386901586,0.0,0.0,0.018091863232810826,0.0,0.008394612479081765,0.0,0.0,0.0,0.0028322580610066236,0.0
Slc45a1_mm,0.0,0.00013115879060427723,0.00026267525266051233,0.000565614790423532,0.0,0.0,0.0,0.0,0.0,0.004165665205153222,0.0,0.0,0.0,0.0011871260597207899,0.0
Slc45a4_mm,0.2410176089889465,0.0003587661861150631,0.0,0.47686455149313933,0.5498881373535772,0.0,0.0,0.05660068487855342,0.0,0.0,0.3289794081656154,0.07381870168960587,0.0,0.0,0.0
Slc48a1_mm,1.039161853521342,0.0,0.0,0.623296408847498,0.4942933323547401,0.0,0.0,0.2524616126007979,0.20372992409840043,0.0,0.0,0.0,0.0,0.5433773945517203,0.0
Slc4a2_mm,0.2893972310739194,0.030964869673506642,0.03556227089751872,0.4842035771975836,0.17738368104011337,0.0,0.0,0.23270314017251198,0.0,0.18499510363547758,0.09072865435896839,0.0,0.0,0.044721167124314905,0.0
Slc4a3_mm,0.0,0.000767307517384527,0.0,0.0,0.0,0.0,0.0,0.0006478135611154933,0.0,0.006398290291089958,0.0003405703865489725,0.0,0.0007810271421720575,0.0,0.0
Slc4a5_mm,0.0030779404403580486,0.0,0.013184735209225302,0.018559978776133888,0.0018210123029090287,0.0011343024898638763,0.0,0.0,0.0,0.0071674110676959,0.0,0.0,0.0,0.005712278475104606,0.01642450927419712
Slc4a7_mm,1.9265161705818703,0.0,0.011490053929416325,1.9031588628438039,0.5912230555652701,0.709971327346071,0.5586556381388803,0.0,0.8457169735994474,0.4117513395651374,1.4602423065526922,1.3165906356970773,1.3568119064842206,0.0,0.0
Slc4a8_mm,0.09243725451015232,0.0,0.016540518808216234,0.13183634769076924,0.12741269624439536,0.002491505762669611,0.0,0.0,0.0,0.04193664841046272,0.03429197029379192,0.0,0.0,0.06066476550527746,0.0015530845475931294
Slc50a1_mm,0.19443468217989118,0.0,0.0,0.32505172519922154,0.33407044588394036,0.0,0.013682271184863546,0.0013442003101473083,0.0,0.0,0.0,0.0,0.0,0.6219473887744098,0.0
Slc5a9_mm,0.09052554684957913,0.0,0.0,0.13934625369791526,0.08438749113183039,0.0,0.0,0.0,0.0005560906375360193,0.06830293326163926,0.0,0.0,0.0,0.015005707870175291,0.0
Slc6a13_mm,0.0,0.0,0.017121273805942226,0.008964092230982183,0.0,0.0,0.007872841858167418,0.0,0.0,0.0,0.0,0.0,0.0,0.02821707026256859,0.0
Slc6a15_mm,0.0,2.0746745326282118e-05,8.50942949958803e-06,0.0,0.0,0.0,0.0,0.0,0.00018845700692454357,7.114782790273479e-05,0.0,0.0,3.203645294725485e-05,1.6859661195217798e-05,9.335132872110311e-05
Slc6a18_mm,0.0011751318441143121,0.0006676529395642457,0.0002632275512356055,0.0,0.004889632436318563,0.0,0.0,0.0,0.00046343370752404664,0.005788692888384879,0.0003111693835641181,0.0007021167388174144,0.0,0.0015523933909155974,0.001760810148249092
Slc6a9_mm,0.05187486826062175,0.0,0.0,0.14297090413137442,0.517384421706835,0.0,0.0652708036571169,0.07545284889878122,0.0,0.0261779586494212,0.1512388264326734,0.0,0.0,0.04655790317152917,0.0
Slc7a11_mm,0.39803561380651664,0.0,0.0,0.0,0.4326653472253918,0.0,0.0,0.4138031789466338,0.0,0.1624924401279901,0.038994171100384854,0.08681322820966965,0.050249399843870536,0.0,0.0
